"dataId","query","idGroup"
58,"BAU 2017 - World's Leading Trade Fair for Architecture, Materials and Systems http://www.bau-muenchen.com",0
59,"World Future Energy Summit 2017(WFES 2017) http://www.worldfutureenergysummit.com/",0
60,"International Water Summit 2017(IWS 2017) http://iwsabudhabi.com/",0
61,"EcoWASTE 2017 http://ecowaste.ae/Default.aspx",0
62,"Souvenir Show 2017 Spring(Souvenir Show ) http://kankoubussan.jimdo.com/",0
63,"EAG International(EAG 2017) http://www.eagexpo.com",0
64,"NATPE Market & Conference (NATPE 2017) http://www.natpe.org",0
65,"Florida RV SuperShow http://events.frvta.org/florida-rv-supershow/",0
66,"World of Concrete 2017(WOC 2017) http://www.WorldofConcrete.com",0
67,"Premiere Vision New York(PV New York) http://www.premierevision-newyork.com/",0
68,"Shooting, Hunting, and Outdoor Trade Show(2017 SHOT Show) http://www.shotshow.com/",0
69,"Private Label Conference and Exhibition(Marca 2017) http://www.marca.bolognafiere.it/",0
70,"Promotion Trade Exhibition(pte) http://www.promotiontradeexhibition.it/it/",0
71,"AutoZum Salzburg 2017 http://www.autozum.at/",0
72,"Educational Technology, Environment & Contents Korea (EDUTEC KOREA 2017) http://www.educationkorea.kr",0
73,"FORMEX http://www.formex.se/",0
74,"28th International Exhibition of Hospitality Industry Equipments(Anfas Hotel Equipment) http://www.anfashotelequipment.com",0
75,"58th India International Garment Fair (IIGF) http://indiaapparelfair.com/",0
76,"Japan Grand Shoes Collection Summer 2017 (156th) http://www.csia.or.jp/tenjikai/",0
77,"46th NEPCON JAPAN 2017 http://www.nepconjapan.jp/",0
78,"46th INTERNEPCON JAPAN http://www.nepcon.jp/",0
79,"34th ELECTROTEST JAPAN http://www.electrotest.jp/",0
80,"18th IC PACKAGING TECHNOLOGY EXPO(ICP) http://www.icp-expo.jp/",0
81,"7th FINE PROCESS TECHNOLOGY EXPO http://www.fp-expo.jp/",0
82,"PWB EXPO - 18th Printed Wiring Boards Expo(PWB EXPO) http://www.pwb.jp",0
83,"18th ELECTRONIC COMPONENTS & MATERIALS EXPO http://www.ele-expo.jp/",0
84,"8th EV & HEV Drive System Technology Expo(EV JAPAN) http://www.evjapan.jp/",0
85,"5th Connected Car JAPAN http://www.connected-car.jp/",0
86,"1st SMART AUTOMOTIVE FACTORY EXPO http://www.sma-fac.jp/",0
87,"9th AUTOMOTIVE WORLD 2017 http://www.automotiveworld.jp/",0
88,"CAR-ELE JAPAN-9th Int'l Automotive Electronics Technology Expo http://www.car-ele.jp/",0
89,"7th Automotive Lightweight Technology Expo http://www.altexpo.jp/",0
