"showId","text"
78,"PROMOTION TRADE EXHIBITION(pte)"
79,"Anfas Hotel Equipment- 23rd International Hospitality Industry Equipments& Decoration Exhibition(Anfas Hotel Equipment)"
80,"13th GARMENTECH Bangladesh 2014"
81,"Japan Grand Shoes Collection Summer 2012 (141th)"
82,"1st Automotive IT Expo (Held inside AUTOMOTIVE WORLD 2013)"
83,"4th Int'l Automotive Electronics Technology Expo (CAR-ELE JAPAN)(CAR-ELE JAPAN)"
84,"2nd Automotive Weight Reduction Expo(Automotive Weight Reduction Expo)"
85,"1st Automotive Components Processing Technology Expo"
86,"4th LED/OLED Lighting Technology EXPO (LIGHTING JAPAN)(LIGHTING JAPAN)"
87,"1st WEARABLE EXPO"
88,"RoboDEX - 1st Robot Development & Application Expo"
89,"32nd International Fair Tourism (FITUR)"
90,"Education Fair 2013 Korea(Edu Fair 2013 Korea)"
91,"53rd India International Garment Fair - Spring Summer 2015(53rd IIGF)"
92,"9th Plastivision India 2013"
93,"7th India Rubber and Tyre Show 2013(IRE 2013)"
94,"IBEX INDIA 2013 - International  Banking Expo 2013(IBEX INDIA  2013)"
95,"NAMM Show - International Music and Sound Exhibition(NAMM Show)"
96,"Creativation"
97,"The Interior Design Show 2012(IDS 12)"
98,"Food Hospitality World 2014(FHW)"
99,"HAUSLBAUERMESSE Graz"
100,"International Travel Trade Fair & 20th International Fair of Regional Tourism(GO - REGIONTOUR 2012)"
101,"Destinations: The Holiday & Travel Show"
102,"12th Inernational Agriculture and Livestock Exhibition(AGRO EXPO 2017)"
103,"Buyers Market of American Craft(BMA 2012)"
104,"3rd Contract-oriented Trade Fair for Decorations, Glasware, Home and Kitchen Accessories(FOR DECOR AND HOME)"
105,"hanseBAU 2016"
106,"MAISON & OBJET"
107,"PREMIERE CLASSE"
108,"VICENZAORO First(VICENZAORO First)"
109,"Toronto International Boat Show 2012"
110,"Motor Bike Expo(MBE)"
111,"Exhibition of Machines and equipment for gold Jewelry and precious metals. Gemological instruments(T-Gold)"
112,"International Green Week Berlin -Charlottenburg(IGW)"
113,"Myanmar International Franchise & SME Expo 2016 (MIF 2016)"
114,"Japan Fishing Festival 2012"
115,"Economic Times ACETECH AHMEDABAD 2017(ET ACETECH)"
116,"TRANOI HOMME - International Fashion Fair(TRANOI HOMME)"
117,"Eclat de Mode / Bijorhca: International Event Dedicated to the Fashion Jewellery Universe (Eclat de Mode )"
118,"WHO's NEXT(Who's Next)"
119,"MAN PARIS(MAN)"
120,"Order Goods Business Show 2016(OGBS2016)"
121,"SIRHA2013(SIRHA2013)"
