"showId","text"
11,"North American International Auto Show 2016(NAIAS 2016) http://www.naias.com/"
11,"North American International Auto Show 2017(NAIAS 2017) http://www.naias.com/"
12,"Imaging EXPO http://imagingusa.org/imaging-expo/"
12,"Imaging USA (Imaging Expo) http://imagingusa.org/imaging-expo/"
12,"Imaging USA (Imaging Expo) http://imagingusa.org/imaging-expo/"
13,"ENKNYC 2012(ENKNYC 2012) http://www.enkshows.com"
13,"Intermezzo Collections http://www.enkshows.com/intermezzo/#"
13,"Intermezzo Collections http://www.enkshows.com/intermezzo/#"
14,"FAME http://www.fameshows.com/"
14,"FAME http://www.fameshows.com/"
15,"Moda http://www.modamanhattan.com/"
15,"Moda http://www.modamanhattan.com/"
15,"Moda http://www.modamanhattan.com/"
16,"Hong Kong International Stationery Fair 2014(HKISF14) http://www.hktdc.com/fair/hkstationeryfair-tc/"
16,"Hong Kong International Stationery Fair 2015(HKISF15) http://www.hkstationeryfair.com"
16,"Hong Kong International Stationery Fair 2016(HKISF16) http://www.hkstationeryfair.com"
16,"Hong Kong International Stationery Fair 2017(HKISF) http://www.hkstationeryfair.com"
17,"Hong Kong International  Licensing Show 2012 http://hklicensingshow.hktdc.com/"
17,"Hong Kong International  Licensing Show 2013 http://hklicensingshow.hktdc.com/"
17,"Hong Kong International  Licensing Show 2014 http://hklicensingshow.hktdc.com/"
17,"13th Hong Kong International Licensing Show 2015 http://www.hktdc.com/fair/hklicensingshow-en/HKTDC-Hong-Kong-International-Licensing-Show.html"
17,"Hong Kong International Licensing Show 2016 http://www.hktdc.com/fair/hklicensingshow-en/HKTDC-Hong-Kong-International-Licensing-Show.html"
17,"Hong Kong International Licensing Show 2017 http://www.hktdc.com/fair/hklicensingshow-en/"
18,"13th International Energy Exhibition(Kish ENEX 2017) http://kishenex.ir"
19,"International Trade Fair for the Hotel and Catering Industry(HORECAVA 13) http://www.horecava.nl/"
19,"Horecava 2015 http://www.horecava.nl/"
19,"Horecava 2016 http://www.horecava.nl/"
19,"Horecava 2017 http://www.horecava.nl/"
