"訪談日期","部門","new_GeneralInformation","new_Interviewer"
2017-12-20,"會本部. EBS","中小企業處未來將改名為中小企業暨新創局，就新創育成、財務、政策等各方面加大資金投入。目前中小企業處已將世大運林口選手村承接下來，將規劃建置成台灣最大國際新創育成園，預計徵集500家國內外新創團隊進駐，同時將向行政院提報100億資金計畫，將選手村各種軟硬設備採購需求(如選手村的無人車系統建置、5G基礎建設等智慧城市)，提供給進駐之國內外新創團隊將其新技術應用於該場域，另又鼓勵各縣市政府擴大對新創團隊採購服務與商品，藉由釋放台灣對新創技術諸多採購需求，吸引國內外新創團隊進駐，希望將台灣打造為全球創業首站。","白潤怡副處長、陳彥廷專員"
2017-12-20,"會本部. EBS","日寶為國內知名虱目魚罐頭及加工品製造商，該公司擁有4公頃養殖池，與養殖戶合作，提供場地養殖後全面收購，該公司在捕撈後4小時內會加工製作罐頭，以保持其鮮度。本處安排馬來西亞Champ Quality Seafood Mr. Jonathan Wong & Ms. Wenessa  Fong參訪洽通，對於虱目魚飼養及產品加工方式進行交流。Ms. Fong 表示, 該公司在沙巴附近島嶼已初期進行虱目魚養殖，但馬國市場仍以全魚為主，價格並不高，對於日寶生態養殖方式甚表興趣，希能進一步做技術合作的交流。","陳玫伶"
2017-12-19,"會本部. EBS","1.三盟科技企業為經貿網免費會員2.主要出口至德國、土耳其、美國3.推廣經貿網尊爵會員及課程","陳養成"
2017-12-19,"會本部. EBS","1.大溢電子科技為經貿網尊爵會員2.主要出口至肯亞、中國大陸、印度3.詢問經貿網相關問題4.推廣國外展團及課程","陳養成"
2017-12-19,"會本部. EBS","1.台灣帝鄉實業為經貿網免費會員2.主要出口至美國、日本、印尼3.推廣經貿網及課程資訊","陳養成"
2017-12-19,"會本部. EBS","1.至誼實業為經貿網尊爵會員2.該公司在中國大陸有工廠3.詢問經貿網相關問題4.推廣課程及海外展團","陳養成"
2017-12-19,"會本部. EBS","1.捷速康實業是經貿網免費會員2.詢問經貿網目前方案3.推廣台北國際自行車展","陳養成"
2017-12-19,"會本部. EBS","1.承厚有限公司為經貿網尊爵會員2.主要出口至南韓3.詢問國外展團資訊4.推廣課程及形象展","陳養成"
2017-12-19,"會本部. EBS","1.利玖岱(股)公司為經貿網尊爵會員2.主要出口國家為南美洲及東南亞3.詢問經貿網相關活動及海外展團4.已續展2018年汽配展","陳養成"
2017-12-19,"會本部. EBS","1. 106.11.06 前來本處上課:善用貿易服務，開拓海外市場2. 陳小姐表示此次課題與上課內容相符。 3.表示經由台灣經貿網得知此消息","賴軒如"
2017-12-19,"會本部. EBS","1. 106.11.06 前來本處上課:善用貿易服務，開拓海外市場2. 黃先生表示此次課題與上課內容相符。 3.表示經由台灣經貿網得知此消息","賴軒如"
