group,string,score,dataId,idG
group45,TOKYO AUTO SALON 2017 http://www.tokyoautosalon.jp/,1,46,0
group45,TOKYO AUTO SALON 2018 http://www.tokyoautosalon.jp/,0.9699595085,3295,1
group46,Expo Riva Schuh - International shoe Fair http://www.exporivaschuh.it,1,47,0
group46,Expo Riva Schuh - International shoe Fair http://www.exporivaschuh.it,1,1569,0
group46,Expo Riva Schuh http://www.exporivaschuh.it,0.8662680592,3299,1
group47,bouw & reno http://www.bouwreno.be/,1,48,0
group47,bouw & reno http://www.bouwreno.be/,1,3300,1
group48,DOMOTEX 2017 http://www.domotex.de/home,1,49,0
group48,DOMOTEX Turkey http://www.domotexturkey.com/,0.5157107298,1365,0
group48,DOMOTEX 2018 http://www.domotex.de/home,0.9817856075,3297,1
group49,"7th Exhibition of  Interior Design , Architecture ,Modern House(Midex 2017) http://midex.ir/",1,50,0
group49,Midex 2018 - 8th International Exhibition of  Midex http://midex.ir/,0.7332673965,3293,1
group50,HOGA Nuernberg http://www.hoga-messe.de/home.html,1,51,0
group51,Giving & Living http://www.givingliving.co.uk/,1,52,0
group51,Giving & Living http://www.givingliving.co.uk/,1,3303,1
group52,Top Drawer Spring http://www.topdrawer.co.uk/,1,53,0
group52,Top Drawer A/W http://www.topdrawer.co.uk/,0.9509345365,2153,0
group52,Top Drawer S/S http://www.topdrawer.co.uk/,0.9509345365,3304,1
group52,Top Drawer A/W http://www.topdrawer.co.uk/,0.9509345365,4718,1
group53,"44th International Shoe, Leather Goods and Accessories Fair(COUROMODA 2017) http://www.couromoda.com",1,54,0
group53,"COUROMODA 2018 - 45th International Shoe, Leather Goods and Accessories Fair http://www.couromoda.com",0.8795716854,3312,1
group54,Salon International de la Haute Horlogerie(SIHH 2017) http://www.sihh.org,1,55,0
group54,SIHH 2018 - Salon International de la Haute Horlogerie http://www.sihh.org,0.9906258879,3311,1
group55,The 13th SteelFab 2017 http://www.steelfabme.com/default.htm,1,56,0
group55,14th SteelFab 2018 http://www.steelfabme.com/,0.6238005044,3306,1
group56,imm cologne 2017 http://www.imm-cologne.com/,1,57,0
group56,imm cologne 2018 http://www.imm-cologne.com/,0.9889752239,3309,1
group57,"BAU 2017 - World's Leading Trade Fair for Architecture, Materials and Systems http://www.bau-muenchen.com",1,58,0
group58,World Future Energy Summit 2017(WFES 2017) http://www.worldfutureenergysummit.com/,1,59,0
group58,WFES 2018 - World Future Energy Summit http://www.worldfutureenergysummit.com/,0.9656747956,3310,1
group59,International Water Summit 2017(IWS 2017) http://iwsabudhabi.com/,1,60,0
