2015-01-19-2015-01-21-New York-16605130,Texworld USA - Worldwide Fabrics Rendez-vous (January),Texworld USA,1.41421356237
2012-05-01-2012-05-03-Las Vegas-12119974,NHS - National Hardware Show with Lawn & Garden World,National Hardware Show,1.73205080757
2013-01-29-2013-01-31-Las Vegas-13004232,Surfaces - Floor Covering Show,SURFACES 2013,0.707106781187
2013-09-17-2013-09-19-Detroit-28931960,The Battery Show,The Battery Show(Battery),1.55053753979
2014-02-11-2014-02-13-Anaheim-20765714,MD & M West - Medical Design and Manufacturing West Conference & Exposition,Medical Design & Manufacturing West(MD&M West),2.13142683123
2014-02-11-2014-02-13-Anaheim-52507113,WestPack - The Western Packaging Exposition,WestPack,1.0
2012-05-20-2012-05-23-Las Vegas-22099982,CURRENT CONCEPTS IN JOINT REPLACEMENT -Spring ,TIDES : 2012 (TIDES ),0.0
2012-12-11-2012-12-13-Orlando-28772843,POWER-GEN International - The Global Power Generation Exhibition & Conference,POWER-GEN International 2012(PGI 2012),1.06066017178
2013-07-09-2013-07-11-San Francisco-86412635,Intersolar North America,Intersolar North America,1.73205080757
2014-03-11-2014-03-13-Las Vegas-13133334,"The Travel Goods Show - The International Travelgoods, Leather and Accessories Show",The Internationl Travel Goods Show,1.788854382
2013-03-19-2013-03-21-Anaheim-80439067,OFC - Optical Fiber Communications Conference,OFC/NFOEC 2013,0.57735026919
2015-02-10-2015-02-12-Anaheim-43845900,Pacific Design & Manufacturing,PLASTEC West 2015,0.0
2013-06-18-2013-06-20-Philadelphia-47183992,MD & M East - Medical Design and Manufacturing East Conference and Exhibition,Medical Design & Manufacturing (MD &M) East (MD&M East),2.06436776175
2015-01-20-2015-01-22-Las Vegas-22274989,KBIS - The Kitchen and Bath Industry Show (Las Vegas),Kitchen & Bath Industry Show (KBIS 2015),2.00785445966
2012-05-01-2012-05-03-Las Vegas-97252918,NHS - National Hardware Show with Lawn & Garden World,National Hardware Show,1.73205080757
2012-05-01-2012-05-03-Las Vegas-59339605,NHS - National Hardware Show with Lawn & Garden World,National Hardware Show,1.73205080757
2013-02-12-2013-02-14-Anaheim-52507113,WestPack - The Western Packaging Exposition,WestPack,1.0
2012-05-01-2012-05-03-Las Vegas-55736912,NHS - National Hardware Show with Lawn & Garden World,National Hardware Show,1.73205080757
2013-06-18-2013-06-20-Philadelphia-52507113,EASTPACK - The Eastern Packaging Exposition,EastPack,1.0
2014-03-09-2014-03-11-New York-12627020,IBS New York - International Beauty Show,The International Beauty Show New York(IBS New York 2014),2.12128249616
2015-09-15-2015-09-17-Novi-6593629,The Battery Show,The Battery Show- The Expo for Advanced Batteries,1.29734509256
2015-01-19-2015-01-21-New York-70838213,Texworld USA - Worldwide Fabrics Rendez-vous (January),Texworld USA,1.41421356237
2012-01-16-2012-01-18-New York-27984664,Texworld USA - Worldwide Fabrics Rendez-vous (January),Texworld USA 2012(Texworld USA ),1.37148503764
2014-02-04-2014-02-06-Las Vegas-22951377,NAHB International Builders' Show,The International Builders' Show(IBS 2014),1.21111186144
2012-04-24-2012-04-26-Chicago-75998738,Vision IWCE -International Window Coverings Expo,International Window Coverings  Expo   VISION  '12(IWCE),2.26778683806
2012-05-01-2012-05-03-Las Vegas-72108944,NHS - National Hardware Show with Lawn & Garden World,National Hardware Show,1.73205080757
2012-05-01-2012-05-03-Las Vegas-35971071,NHS - National Hardware Show with Lawn & Garden World,National Hardware Show,1.73205080757
2012-04-24-2012-04-26-Chicago-88652293,KBIS - The Kitchen and Bath Industry Show (Chicago),Kitchen & Bath Industry Show(KBIS 2012),2.04124145232
2014-02-04-2014-02-06-Las Vegas-34651874,KBIS - The Kitchen and Bath Industry Show (Las Vegas),Kitchen & Bath Industry Show (KBIS 2014)(KBIS 2014),1.85002059773
2015-06-02-2015-06-04-Houston-89627505,"JEC americas Conferences, Table-Tops and Networking",JEC Americas 2015,1.15470053838
